# frame	pencil	paper	rank
M34-013-0004.jpg	0.00713	0.813	327
M34-013-0218.jpg	0.00709	0.850	328
M34-013-0225.jpg	0.00692	0.822	329
M34-013-0260.jpg	0.00679	0.748	330
M34-013-0236.jpg	0.00654	0.841	331
M34-013-0066.jpg	0.00648	0.763	332
M34-013-0261.jpg	0.00647	0.750	333
M34-013-0387.jpg	0.00636	0.808	334
M34-013-0051.jpg	0.00635	0.739	335
M34-013-0052.jpg	0.00629	0.846	336
M34-013-0376.jpg	0.00627	0.819	337
M34-013-0286.jpg	0.00614	0.829	338
M34-013-0098.jpg	0.00607	0.815	339
M34-013-0258.jpg	0.00604	0.688	340
M34-013-0130.jpg	0.00596	0.791	341
M34-013-0349.jpg	0.00564	0.843	342
M34-013-0350.jpg	0.00564	0.838	343
M34-013-0235.jpg	0.00557	0.826	344
M34-013-0301.jpg	0.00546	0.841	345
M34-013-0311.jpg	0.00545	0.816	346
M34-013-0053.jpg	0.00529	0.754	347
M34-013-0368.jpg	0.00525	0.656	348
M34-013-0205.jpg	0.00524	0.662	349
M34-013-0092.jpg	0.00513	0.654	350
M34-013-0037.jpg	0.00512	0.742	351
M34-013-0038.jpg	0.00501	0.767	352
M34-013-0351.jpg	0.00494	0.817	353
M34-013-0270.jpg	0.00489	0.820	354
M34-013-0207.jpg	0.00489	0.674	355
M34-013-0184.jpg	0.00484	0.824	356
M34-013-0131.jpg	0.00468	0.815	357
M34-013-0133.jpg	0.00458	0.793	358
M34-013-0365.jpg	0.00455	0.632	359
M34-013-0204.jpg	0.00452	0.659	360
M34-013-0244.jpg	0.00449	0.836	361
M34-013-0243.jpg	0.00446	0.821	362
M34-013-0135.jpg	0.00430	0.785	363
M34-013-0242.jpg	0.00425	0.827	364
M34-013-0239.jpg	0.00379	0.855	365
M34-013-0041.jpg	0.00373	0.819	366
M34-013-0366.jpg	0.00372	0.644	367
M34-013-0336.jpg	0.00372	0.826	368
M34-013-0335.jpg	0.00370	0.839	369
M34-013-0241.jpg	0.00366	0.700	370
M34-013-0257.jpg	0.00356	0.722	371
M34-013-0328.jpg	0.00345	0.777	372
M34-013-0134.jpg	0.00344	0.824	373
M34-013-0256.jpg	0.00330	0.705	374
M34-013-0183.jpg	0.00281	0.821	375
M34-013-0206.jpg	0.00257	0.685	376
M34-013-0125.jpg	0.00238	0.737	377
M34-013-0128.jpg	0.00235	0.849	378
M34-013-0132.jpg	0.00226	0.799	379
M34-013-0226.jpg	0.00222	0.849	380
M34-013-0203.jpg	0.00219	0.655	381
M34-013-0055.jpg	0.00209	0.845	382
M34-013-0326.jpg	0.00206	0.832	383
M34-013-0317.jpg	0.00203	0.791	384
M34-013-0124.jpg	0.00167	0.762	385
M34-013-0014.jpg	0.00166	0.608	386
M34-013-0054.jpg	0.00163	0.830	387
M34-013-0088.jpg	0.00149	0.597	388
M34-013-0185.jpg	0.00139	0.806	389
M34-013-0100.jpg	0.00127	0.762	390
M34-013-0364.jpg	0.00102	0.765	391
M34-013-0393.jpg	0.00096	0.290	392
