index	code	transcribed_group	plaintext
4583	227^o	^_ 2^o 2 7	ver
4584	520^^	5^^ 2 0	qu
4585	87	8 7	is
4586	4^o	4^o	
4587	4^^	4^^	n'est
4588	"4^"""	4^''	
4589	114^_	1^_ 1^_ 4	ing[en]
4590	86^_	^_ 8 6	
4591	227^o	2^o 2 7	ver
4592	583^CircleWithHorizontalBar	5^+ 8 3	s
4593	450	4 5 0	p
4594	108^_	1^_ 0^_ 8^_	
4595	311	3 1 1	l
4596	114^_	1^_ 1^_ 4^_	ing[en]
4597	254^CircleWithHorizontalBar	^_ 2^+ 5^_ 4	welke
4598	196	1 9 6	er
4599	787^_	7 8^_ 7^_	nu
4600	132^CircleWithHorizontalBar	1 3^+ 2	zo
4601	223^o	2^o 2 3	beele
4602	173^_	1^_ 7^_ 3^_	jaar
4603	174^^	1^^ 7 4	plaats
4604	216^_	2^_ 1^_ 6	hetten
4605	851	8 5 1	
4606	772	7 7 2	gebr
4607	"277^"""	2^'' 7 7	agt ?
4608	87	8 7	is
4609	132^CircleWithHorizontalBar	1^_ 3^+ 2	zo
4610	87	8 7	is
4611	60^^	6^^ 0	ock
4612	26	2 6	de
4613	311^_	3^_ 1^_ 1^_	land
4614	158	1 5 8	en
4615	44^CircleWithHorizontalBar	4^+ 4	zee
4616	408^_	4^_ 0^_ 8	mag
4617	4^CircleWithHorizontalBar	4^+	t
4618	366^^	3^^ 6 6	op
4619	633^o	6^o 3 3	verre
4620	746	7 4 6	na
4621	777^_	7^_ 7^_ 7	nict?
4622	730^_	7^_ 3^_ 0	in
4623	"968^"""	9^'' 6 8	dien
4624	381	3 8 1	b
4625	34^^	3^^ 4	r
4626	108^_	1^_ 0^_ 8	
4627	311	3 1 1	l
4628	"368^"""	3^'' 6 8	an
4629	414^o	4^o 1 4	ten
4630	75^o	7^o 5	staat
4631	"59^"""	5^'' 9	als
4632	39^^	3^^ 9	men
4633	26^CircleWithHorizontalBar	2^+ 6	wel
4634	16	1 6	daar
4635	300^^	3^^ 0 0	over
4636	366^^	3^^ 6 6	op
4637	280^_	2 8^_ 0	h
4638	469	4 6 9	ef
4639	481^_	4^_ 8^_ 1	maak?
4640	4^CircleWithHorizontalBar	4^+	t
4641	248^CircleWithHorizontalBar	2^+ 4^_ 8	want
4642	"314^"""	3^'' 1 4	
4643	743	7 4 3	dak?
4644	"104^"""	1^'' 0 4	aan
4645	26	2 6	de
4646	89	8 9	s
4647	327	3 2 7	ei
4648	18^o	1 8^o	d
4649	"73^"""	7^'' 3	armee
4650	572^_	5^_ 7^_ 2	meer
